#  pH    <x1>   err1   <x2>   err2
 -1.00   0.00   0.00   0.00   0.00
 -0.75   0.00   0.00   0.00   0.00
 -0.50   0.00   0.00   0.00   0.00
 -0.25   0.00   0.00   0.00   0.00
  0.00   0.00   0.00   0.00   0.00
  0.25   0.00   0.00   0.00   0.00
  0.50   0.00   0.00   0.00   0.00
  0.75   0.00   0.00   0.00   0.00
  1.00  -0.00   0.00   0.00   0.00
  1.25   0.01   0.01   0.01   0.01
  1.50   0.00   0.00   0.02   0.01
  1.75   0.01   0.01   0.08   0.04
  2.00   0.01   0.01   0.05   0.02
  2.25   0.04   0.01   0.13   0.02
  2.50   0.03   0.02   0.13   0.02
  2.75   0.07   0.03   0.24   0.05
  3.00   0.10   0.04   0.26   0.05
  3.25   0.07   0.02   0.32   0.04
  3.50   0.20   0.09   0.33   0.06
  3.75   0.14   0.07   0.53   0.06
  4.00   0.31   0.09   0.57   0.05
  4.25   0.20   0.06   0.70   0.05
  4.50   0.32   0.15   0.63   0.04
  4.75   0.33   0.14   0.85   0.04
  5.00   0.55   0.20   0.86   0.02
  5.25   0.50   0.04   0.93   0.02
  5.50   0.50   0.14   0.96   0.02
  5.75   0.54   0.21   0.98   0.01
  6.00   0.48   0.18   0.98   0.01
  6.25   0.83   0.15   0.99   0.00
  6.50   0.72   0.13   1.00   0.00
  6.75   0.64   0.16   1.00   0.00
  7.00   0.98   0.03   1.00   0.00
  7.25   0.94   0.08   1.00   0.00
  7.50   0.81   0.14   1.00   0.00
  8.00   1.00   0.00   1.00   0.00
  8.50   1.00   0.00   1.00   0.00
  9.00   1.00   0.00   1.00   0.00
  9.50   1.00   0.00   1.00   0.00
 10.00   1.00   0.00   1.00   0.00
 10.50   1.00   0.00   1.00   0.00
 11.00   1.00   0.00   1.00   0.00
 11.50   1.00   0.00   1.00   0.00
 12.00   1.00   0.00   1.00   0.00
 12.50   1.00   0.00   1.00   0.00
 13.00   1.00   0.00   1.00   0.00
 13.50   1.00   0.00   1.00   0.00
 14.00   1.00   0.00   1.00   0.00
