#  pH    <x1>   err1   <x2>   err2
 -1.00  -0.01   0.00  -0.00   0.00
 -0.75  -0.01   0.00  -0.00   0.00
 -0.50  -0.01   0.00   0.01   0.01
 -0.25  -0.01   0.00  -0.00   0.00
  0.00  -0.01   0.00   0.72   0.23
  0.25  -0.01   0.00  -0.00   0.00
  0.50  -0.00   0.00   0.96   0.04
  0.75  -0.00   0.00   0.02   0.00
  1.00  -0.00   0.00   0.97   0.01
  1.25  -0.00   0.00   0.74   0.21
  1.50  -0.00   0.00   0.68   0.17
  1.75   0.02   0.02   0.98   0.03
  2.00   0.00   0.00   0.88   0.12
  2.25   0.00   0.00   0.33   0.13
  2.50   0.29   0.17   0.99   0.01
  2.75   0.05   0.02   0.94   0.03
  3.00   0.06   0.02   0.98   0.01
  3.25   0.13   0.02   0.94   0.04
  3.50   0.12   0.02   0.97   0.02
  3.75   0.29   0.10   1.00   0.00
  4.00   0.10   0.01   0.96   0.02
  4.25   0.17   0.05   0.98   0.01
  4.50   0.08   0.01   0.98   0.01
  4.75   0.21   0.09   0.99   0.00
  5.00   0.13   0.03   1.00   0.00
  5.25   0.47   0.18   1.00   0.00
  5.50   0.37   0.15   1.00   0.00
  5.75   0.61   0.18   1.00   0.00
  6.00   0.63   0.22   1.00   0.00
  6.25   0.89   0.08   1.00   0.00
  6.50   0.92   0.04   1.01   0.00
  6.75   0.96   0.04   1.01   0.00
  7.00   0.90   0.11   1.01   0.00
  7.25   0.77   0.22   1.01   0.00
  7.50   0.86   0.14   1.01   0.00
  8.00   0.88   0.13   1.01   0.00
  8.50   1.00   0.00   1.01   0.00
  9.00   0.99   0.01   1.01   0.00
  9.50   0.96   0.04   1.01   0.00
 10.00   0.92   0.09   1.01   0.00
 10.50   1.00   0.01   1.01   0.00
 11.00   1.01   0.00   1.01   0.00
 11.50   0.91   0.10   1.01   0.00
 12.00   0.99   0.02   1.01   0.00
 12.50   1.00   0.01   1.02   0.00
 13.00   1.00   0.01   1.01   0.00
 13.50   0.91   0.10   1.01   0.00
 14.00   0.99   0.01   1.02   0.00
